Check List Number,Species name,Host Plant (book),Host Plant on iNat,Count,Broods,Date,Year,Chart Year,Notes,New_notes,Found in iNat,iNat link,Name change?,Exported?,Adult Export,Broods in iNat,Climax in iNat,1919First,1919Peak,1919Last,1922First,1922Peak,1922Last,,,,
4303,Physostegania pustularia,,,75,2,One very large flight on June 27 and a second straggling flight centering August 2,1919,"Chart 7, 1919",,,Yes,https://www.inaturalist.org/taxa/736797-Macaria-pustularia,Macaria pustularia,401558,402951,1,,24,25,34,25,26,33,,,,
4303,Physostegania pustularia,,,158,2,"July, and a few specimens in August",1922,"Chart 7, 1922",,,Yes,https://www.inaturalist.org/taxa/736797-Macaria-pustularia,Macaria pustularia,,,,,,,,,,,,,,
4338,Macaria minorata,,,23,2,"June, late July, and August",,"Chart 7, 1922",Not taken in 1919. Appeared irregularly. Flight dates indicate no broods clearly,,Yes,https://www.inaturalist.org/taxa/224256-Macaria-minorata,,,,,,,,,,,,,,,
4339,Macaria bisignata,,,7,1,Climax beginning of July,1919,"Chart 7,1922",,,Yes,https://www.inaturalist.org/taxa/146886-Macaria-bisignata,,401559,402953,2,26; 32,22,27,33,23,26,26,,,,
4339,Macaria bisignata,,,14,,Lasting through August,1922,"Chart 7, 1922",Flight irregular,,Yes,https://www.inaturalist.org/taxa/146886-Macaria-bisignata,,,,,,,,,,,,,,,
4345,Macaria granitata,,,20,2,"Climax June 20, and straggling in AUgust 19",1919,"Chart 7, 1919",One well marked flight and second straggling,,Yes,https://www.inaturalist.org/taxa/224253-Macaria-granitata,,401560,402954,1,,20,24,35,24,32,33,,,,
4345,Macaria granitata,,,20,2,July 1 and August 19,1922,"Chart 7, 1922","2 specimens in middle of may, possibly indicating another generation.",,Yes,https://www.inaturalist.org/taxa/224253-Macaria-granitata,,,,,,,,,,,,,,,
4465,Caripeta divisata,,,58,1,July,,"Chart 7, 1922",In 1922 ten specimens of a striking aberration were taken,,Yes,https://www.inaturalist.org/taxa/205213-Caripeta-divisata,,,,,,,,,,,,,,,
4486,Nepytia canosaria,,,67,1,September,,"Chart 7, 1922",The principal flight of this species falls in the period when the trap was not running in 1919.,,Yes,https://www.inaturalist.org/taxa/211007-Nepytia-canosaria,,,,,,,,,,,,,,,
4570,Cleora pampinaria,,,11,2,August,,"Chart 8, 1922","Principal brood in August, another early brood indicated by stragglers.",,No,,,,,,,,,,,,,,,,
4584,Cleora ephyraria,,,50,1,July,,"Chart 8, 1922",,,Yes,https://www.inaturalist.org/observations?place_id=1082&subview=map&taxon_id=222285,Iridopsis ephyraria,401564,402955,1,,28,28,29,27,28,31,,,,
4599,Melanolophia canadaria,,,,1,,,"Chart 8, 1919 and 1922","1 brood in spring, and an odd specimen appearing in 1919 on August 29. More than one species may be represented in the series.",,Yes,https://www.inaturalist.org/taxa/118860-Melanolophia-canadaria,,401565,402956,2,21; 30,18,22,34,18,22,24,,,,
4654,Ellopia (Therina) fiscellaria,,,30,1,September and October,,"Chart 8, 1922",Largely missed in 1919,,Yes,https://www.inaturalist.org/taxa/154446-Lambdina-fiscellaria,Lambdina fiscellaria,401567,402958,1,,36,39,39,34,36,38,,,,
4659,Campaea perlata,,,29,2,June and August,,"Chart 8, 1922","Only a single specimen was taken in 1919, belonging to the first brood.",,Yes,https://www.inaturalist.org/taxa/81681-Campaea-perlata,,401569,402959,2,22; 35,23,23,23,31,33,34,,,,
4661,Eugonobapta nivosaria,,,48,1,Early july,,"Chart 8, 1919 and 1922",a few stragglers after brood,,Yes,https://www.inaturalist.org/taxa/205195-Eugonobapta-nivosaria,,401570,402960,1,,20,26,27,24,27,30,,,,
4664,Ennomos subsignarius,,,90,1,July,,"Chart 8, 1919 and 1922",One flight in July. The few specimens taken in 1919 flew laer than in 1922,,Yes,https://www.inaturalist.org/taxa/119939-Ennomos-subsignaria,,401571,402961,1,,26,27,28,25,26,29,,,,
4666,Xanthotype crocataria,,,,2,June and August,,"Chart 8, 1919 and 1922",The second brood was relatively much heavier in 1922,,Yes - no local observations,https://www.inaturalist.org/observations?place_id=any&subview=map&taxon_id=119062,Xanthotype sospeta,no observations,,0,,22,23; 31,33,22,22; 32,33,,,,
4678,Hyperetis amicaria,,,33,1,June,,"Chart 8, 1919 ",,,No,,,,,,,,,,,,,,,,
