ID,Population,Treatment,Timepoint,SVL_Capture,Capture_Mass,Experiment_Mass,Experiment_SVL,MR_Tb,Hct,Hb,VCO2_Max,TimetoExhaustion
210,Astien,Normoxia,T3,55.94,4.82,5,58.6,28.2,0.33951,82.440485,0.075,199.2
209,Astien,Normoxia,T1,65.95,8.21,7.87,66.71,.,0.41716,88.86886,.,.
209,Astien,Normoxia,T2,65.95,8.21,7.79,68.53,.,0.39601,101.0789342,.,99.4
209,Astien,Normoxia,T3,65.95,8.21,7.85,69.31,28.4,0.38915,104.5105283,0.114,90.12
208,Astien,Normoxia,T1,64.14,7.91,7.08,64.91,.,0.35439,94.74032292,.,.
208,Astien,Normoxia,T2,64.14,7.91,7.43,69.48,.,0.29834,70.04703417,.,111.48
208,Astien,Normoxia,T3,64.14,7.91,7.42,68.45,.,0.35535,87.71126333,.,154
207,Luzenac,Hypoxia,T1,65.66,7.57,7.24,64.5,.,0.35103,84.92504833,.,.
207,Luzenac,Hypoxia,T2,65.66,7.57,7.57,67.89,.,0.37818,85.99643333,0.074,94.68
207,Luzenac,Hypoxia,T3,65.66,7.57,7.33,68.97,30.4,0.38242,74.47185125,0.078,80.36
206,Luzenac,Hypoxia,T1,58.14,5.12,4.96,58.64,.,0.42248,80.84358167,.,.
206,Luzenac,Hypoxia,T2,58.14,5.12,4.82,57.46,.,0.4302,77.80500917,.,83.44
206,Luzenac,Hypoxia,T3,58.14,5.12,4.83,60.52,.,0.44779,89.85676333,.,113.84
205,Luzenac,Hypoxia,T1,63.46,6.88,6.81,62.04,.,0.40452,80.42085833,.,.
205,Luzenac,Hypoxia,T2,63.46,6.88,6.9,62.11,.,0.44501,78.1335,0.101,79.56
205,Luzenac,Hypoxia,T3,63.46,6.88,6.56,63.76,30.4,0.34572,88.51940167,0.062,179.92
204,Luzenac,Hypoxia,T1,63.4,6.77,6.75,65.69,.,0.37834,106.8119133,.,.
204,Luzenac,Hypoxia,T2,63.4,6.77,6.23,68.32,30.4,0.36087,86.33878167,0.094,.
204,Luzenac,Hypoxia,T3,63.4,6.77,6.3,68.51,30.2,0.4505,76.18992833,0.071,108.16
203,Luzenac,Hypoxia,T1,57.71,5.01,5.4,57.58,.,0.36524,78.66437,.,.
203,Luzenac,Hypoxia,T2,57.71,5.01,5.48,60.79,.,0.41145,92.78383333,.,78.84
203,Luzenac,Hypoxia,T3,57.71,5.01,5.74,61.06,.,0.46475,80.895725,.,86.4
202,Luzenac,Hypoxia,T1,63.23,8.2,7.76,63.67,.,0.2984,72.65878333,.,.
202,Luzenac,Hypoxia,T2,63.23,8.2,7.53,64.33,.,0.34744,86.73716417,.,169.84
202,Luzenac,Hypoxia,T3,63.23,8.2,7.12,62.47,.,.,.,.,.
201,Astien,Hypoxia,T1,61.06,5.64,5.37,60.48,.,0.37079,73.22727333,.,.
201,Astien,Hypoxia,T2,61.06,5.64,5.33,60.69,.,0.39662,75.7222375,.,112.24
201,Astien,Hypoxia,T3,61.06,5.64,5.1,62.52,.,0.37251,.,.,106.8
200,Astien,Hypoxia,T1,60.81,6.46,6.66,62.67,.,0.33089,75.33360167,.,.
200,Astien,Hypoxia,T2,60.81,6.46,6.62,63.64,30.4,0.39865,95.24996917,0.08,78.56
200,Astien,Hypoxia,T3,60.81,6.46,6.51,62.57,29.6,0.40828,100.87033,0.075,76.64
199,Astien,Hypoxia,T1,63.66,6.75,6.87,66.06,.,0.41652,72.30894333,.,.
199,Astien,Hypoxia,T2,63.66,6.75,7.14,66.93,30.2,0.48881,93.47892083,0.107,129.2
199,Astien,Hypoxia,T3,63.66,6.75,7.05,66.67,29.8,0.39993,97.716445,0.1,128.76
198,Astien,Hypoxia,T1,65.37,7.41,6.84,66.22,.,0.4154,80.33339833,.,.
198,Astien,Hypoxia,T2,65.37,7.41,7.24,67.77,.,0.35637,104.1437438,0.122,174.76
198,Astien,Hypoxia,T3,65.37,7.41,7.1,69.75,30.4,0.40162,84.38573833,0.07,151.52
